paper_id,title,first_author,year,venue,source,doi,url,screen_stage,decision,reason_code,reviewer,notes
EEG-0010,HEDN: A Hard-Easy Dual Network with Source Reliability Assessment for Cross-Subject EEG Emotion Recognition,(unknown),2025,arXiv,WebSearch,not verified,https://arxiv.org/abs/2511.06782,full-text,include,include,Claude,"INCLUDED - full text (PDF Tables II-III): transductive LOSO; SEED 94.00/7.05 SEED-IV 79.36/9.62 DEAP V73.07/5.01 A73.20/8.97; careful 5-seed stability analysis; Table II reproduces MS-MDA 89.63/6.79 & 59.34/5.48 EXACTLY (3rd corroboration); no code; extracted 4 meta rows. NOTE: WebFetch fast-model summary mis-read these numbers - verified by reading tables directly"
EEG-0011,Towards Practical Emotion Recognition: An Unsupervised Source-Free Approach for EEG Domain Adaptation,(unknown),2025,arXiv,WebSearch,not verified,https://arxiv.org/abs/2504.03707,full-text,include,include-narrative,Claude,"INCLUDED (narrative) - results verified: source-free UDA, cross-dataset 2-class; DEAP->SEED 65.84 / SEED->DEAP 58.99; NO SD reported -> include_meta=no; corroborates realistic cross-dataset ~58-67% (cf transductive PESD 93+, EEG-0053); new source-free stratum"
EEG-0012,Cross-subject EEG emotion recognition combined with connectivity features and meta-transfer learning,(unknown),2022,Computers in Biology and Medicine,WebSearch,not verified,https://www.sciencedirect.com/science/article/abs/pii/S0010482522003110,title-abstract,unclear,unclear-needs-fulltext,Claude,"Meta-transfer learning; few-shot calibration candidate; DEAP ~71pct (secondary); promote to full-text"
EEG-0013,A Lightweight Domain Adversarial Neural Network Based on Knowledge Distillation for EEG-based Cross-subject Emotion Recognition,(unknown),2023,arXiv,WebSearch,not verified,https://arxiv.org/pdf/2305.07446,title-abstract,unclear,unclear-needs-fulltext,Claude,"Adversarial DA + knowledge distillation; promote to full-text; verify numbers"
EEG-0014,Cross-Subject EEG Emotion Recognition With Self-Organized Graph Neural Network (SOGNN),Li,2021,Frontiers in Neuroscience,WebSearch,10.3389/fnins.2021.611653,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2021.611653/full,full-text,include,include,Claude,"INDUCTIVE LOSO (no target data) SEED 86.81/5.79 SEED-IV 75.27/8.19; verified full text; strengthens Stratum A"
EEG-0015,EmT: A Novel Transformer for Generalized Cross-subject EEG Emotion Recognition,Ding,2024,arXiv preprint,WebSearch,not verified,https://arxiv.org/abs/2406.18345,full-text,include,include,Claude,"Inductive; SEED LOSO acc 0.802/F1 0.821; FACED LnSO(n=12) acc 0.608; adds FACED breadth; preprint - confirm peer-review status"
EEG-0016,EEGFuseNet: Hybrid Unsupervised Deep Feature Characterization and Fusion,Liang,2021,IEEE Trans. Neural Systems and Rehabilitation Engineering,user-PDF,not verified,https://arxiv.org/abs/2102.03777,full-text,include,include,Claude,"VERIFIED FROM FULL TEXT (root PDF). CORRECTION: 72.81 NOT in paper; DEAP subj-indep unsupervised LOSO acc V56.44/A58.55/D61.71/Liking65.89; unsupervised features (inductive); adds DEAP depth"
EEG-0017,MTLFuseNet: deep latent feature fusion and multi-task learning,Li,2023,Knowledge-Based Systems,user-PDF,10.1016/j.knosys.2023.110756,https://www.sciencedirect.com/science/article/abs/pii/S0950705123005063,full-text,include,include,Claude,"VERIFIED FROM FULL TEXT (root PDF): DREAMER V80.43/8.01 A83.33/11.24 + DEAP V71.33/5.24 A73.28/7.74; subject-independent LOSOCV inductive; adds DREAMER+DEAP depth"
EEG-0018,Cross-subject EEG signals-based emotion recognition using contrastive learning,(unknown),2025,Scientific Reports,WebSearch,not verified,https://www.nature.com/articles/s41598-025-13289-5,title-abstract,unclear,unclear-needs-fulltext,Claude,"Nature paper behind auth redirect on fetch; candidate for DREAMER/AMIGOS coverage; retrieve full text to verify"
EEG-0019,Multi-Database EEG Integration for Subject-Independent Emotion Recognition,(unknown),2026,Mathematics (MDPI),WebSearch,not verified,https://www.mdpi.com/2227-7390/14/3/474,title-abstract,unclear,unclear-needs-fulltext,Claude,"Pools DEAP/MAHNOB/DREAMER/AMIGOS/REFED into one model - AMIGOS-coverage candidate but pooled (not per-dataset LOSO); assess carefully for modality/dataset mixing leakage"
EEG-0020,Contrastive Learning of Subject-Invariant EEG Representations for Cross-Subject Emotion Recognition (CLISA),"Shen, Liu, Hu, Zhang, Song",2022,IEEE Transactions on Affective Computing (vol 14),arXiv-API,10.1109/TAFFC.2022.3164516,https://arxiv.org/abs/2109.09559,full-text,include,include,Claude,"INCLUDED - full text (IEEE TAC 2022, PDF Table 5): SEED 3-class LOSO 86.4/6.4. TRANSDUCTIVE - prediction uses online adaptive feature normalization with test-subject data (decay 0.99) + stratified norm in training; disclosed. Main dataset THU-EP (80 subj) non-public/out-of-scope; new-stimuli generalizability SEED 77.4/13.4; extracted 1 meta row"
EEG-0021,FACE: Few-shot Adapter with Cross-view Fusion for Cross-subject EEG Emotion Recognition,(unknown),2025,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2503.18998,full-text,include,include,Claude,"INCLUDED - full text (PDF Tables I-II): FEW-SHOT WITH TARGET LABELS stratum (K-shot calibration). SEED 5-shot 93.96/2.70 (10-shot 96.72), SEED-IV 89.51/3.13, SEED-V 95.20/1.42. Completes protocol ladder (inductive~86 -> unsup-transductive~94 -> few-shot-labeled 94-99). No code; extracted 3 meta rows (5-shot primary)"
EEG-0022,Region-aware Spatiotemporal Modeling with Collaborative Domain Generalization for Cross-Subject EEG Emotion Recognition (RSM-CoDG),"Wu et al.",2026,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2601.15615,full-text,include,include,Claude,"INCLUDED - full text (PDF Tables 2-4): FIRST inductive DOMAIN-GENERALIZATION (no target data, stratum K) in corpus; SEED 86.35/7.17 SEED-IV 71.59/9.78 SEED-V 62.77/8.86; code github.com/RyanLi-X/RSM-CoDG. Inductive 86.35 matches transductive CLISA/RGNN (thesis point). Adds SEED-V (5-class). Reproduces MS-MDA at 81.43 (no-target) vs 89.63 (transductive) = protocol effect; extracted 3 meta rows"
EEG-0023,Semi-Supervised Dual-Stream Self-Attentive Adversarial Graph Contrastive Learning for Cross-Subject EEG Emotion Recognition,(unknown),2023,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2308.11635,title-abstract,unclear,passes-ta-needs-fulltext,Claude,"Semi-supervised (stratum N); verify target-label usage = leakage check"
EEG-0024,EEGMatch: Learning with Incomplete Labels for Semi-Supervised EEG-based Cross-Subject Emotion Recognition,(unknown),2023,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2304.06496,full-text,include,include,Claude,"INCLUDED - full text via ar5iv: SEED 91.35/7.03 (3-cls) SEED-IV 65.53/8.31; LOSO but TRANSDUCTIVE (unlabeled target in training) + semi-supervised SOURCE labels; code github.com/KAZABANA/EEGMatch verified; extracted 2 rows"
EEG-0025,Dive into Waves: Morlet Spectral Transformer for Cross-Subject Emotion Decoding from EEG,(unknown),2026,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2606.00884,title-abstract,unclear,passes-ta-needs-fulltext,Claude,"Transformer spectral; verify protocol/numbers"
EEG-0026,SSAS: Cross-subject EEG-based Emotion Recognition through Source Selection with Adversarial Strategy,(unknown),2025,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2512.13458,title-abstract,unclear,passes-ta-needs-fulltext,Claude,"Source selection + adversarial (transductive-leaning); verify"
EEG-0027,What Causes Performance Degradation in Cross-Subject EEG Classification?,(unknown),2024,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2410.03057,full-text,include,include-narrative,Claude,"INCLUDED (narrative/methodological) - abstract verified: degradation = inter-subject variability + shortcut learning; emphasizes appropriate evaluation protocols; Discussion anchor; no benchmark result"
EEG-0028,FreqDGT: Frequency-Adaptive Dynamic Graph Networks with Transformer for Cross-subject EEG Emotion Recognition,(unknown),2025,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2506.22807,title-abstract,unclear,passes-ta-needs-fulltext,Claude,"Graph+transformer; verify protocol/numbers"
EEG-0029,Multi-Subdomain Adversarial Network for Cross-Subject EEG-based Emotion Recognition,(unknown),2023,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2308.14059,title-abstract,unclear,passes-ta-needs-fulltext,Claude,"Subdomain adversarial DA (transductive); verify"
EEG-0030,E2STN: EEG-based Emotion Style Transfer Network for Cross-dataset Emotion Recognition,(unknown),2023,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2308.05767,full-text,include,include-narrative,Claude,"INCLUDED (narrative) - full text (PDF Table 2): cross-dataset transductive style transfer SEED/SEED-IV/MPED; uses target STYLE (unlabeled), no target labels. 3-cat MPED->SEED 73.51/7.23, SEED-IV->SEED 60.51/5.41, SEED->MPED 45.56/4.78; include_meta=no (directions singletons). New dataset MPED. EEG-0032 is its duplicate"
EEG-0031,mixEEG: Enhancing EEG Federated Learning for Cross-subject EEG Classification with Tailored mixup,(unknown),2025,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2504.07987,title-abstract,unclear,passes-ta-needs-fulltext,Claude,"Federated learning angle; verify task is emotion + protocol"
EEG-0032,Enhancing Cross-Dataset EEG Emotion Recognition: Emotional EEG Style Transfer Network (E2STN),(unknown),2024,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2403.16540,title-abstract,exclude,duplicate,Claude,"DUPLICATE of EEG-0030 (arXiv:2308.05767) - arXiv admin note confirms 'substantial text overlap'; same E2STN cross-dataset style-transfer work; collapse to EEG-0030 to avoid double-counting"
EEG-0033,Local-Global Feature Fusion for Subject-Independent EEG Emotion Recognition (LGF/MAET),"Zhou, McEvoy, Valderrama",2026,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2601.08094,full-text,include,include-narrative,Claude,"INCLUDED (narrative) - full text (PDF Table I): INDUCTIVE LOSO (subject-wise norm on training only; adversarial over source subjects); SEED-VII 7-class 40.1 Acc / 38.7 Macro-F1; NO SD reported -> include_meta=no. Adds SEED-VII (new dataset); shows fine-grained inductive cross-subject is hard; code github.com/Danielz-z/LGF-EEG-Emotion"
EEG-0034,Cross-domain EEG-based Emotion Recognition with Contrastive Learning,(unknown),2025,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2511.05293,title-abstract,unclear,passes-ta-needs-fulltext,Claude,"Cross-domain contrastive; verify cross-subject vs cross-dataset"
EEG-0035,DAGAM: A Domain Adversarial Graph Attention Model for Subject Independent EEG-Based Emotion Recognition,(unknown),2022,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2202.12948,full-text,include,include,Claude,"INCLUDED - full text (PDF Table 1): transductive LOOCV domain-adversarial-on-graph; SEED 92.59/3.21 SEED-IV 80.74/4.14; Table 1 corroborates DGCNN/BiDANN-S/BiHDM/RGNN; no code; extracted 2 meta rows"
EEG-0036,M3D: Manifold-based Domain Adaptation with Dynamic Distribution for Cross-subject and Cross-session EEG Emotion Recognition,(unknown),2024,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2404.15615,title-abstract,unclear,passes-ta-needs-fulltext,Claude,"Non-deep manifold DA; cross-subject+session; verify"
EEG-0037,Multi-modal Mood Reader: Pre-trained Model Empowers Cross-Subject Emotion Recognition,"Dong et al.",2024,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2405.19373,full-text,exclude,multimodal-not-EEG-only,Claude,"EXCLUDED (out of scope) - full text (PDF Figs 1-2): MULTIMODAL (EEG + eye-movement) by design - eye-movement is a core fused branch, so headline accuracy is NOT EEG-only; MBSM masked-pretraining on EEG-MI dataset. No EEG-only cross-subject number to extract without fabrication. Retain as Discussion context for foundation-model/pretraining + multimodal trend (cf mdJPT EEG-0044)"
EEG-0038,DuA: Dual Attentive Transformer in Long-Term Continuous EEG Emotion Analysis,(unknown),2024,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2407.20519,title-abstract,unclear,passes-ta-needs-fulltext,Claude,"Transformer continuous EEG; verify cross-subject protocol"
EEG-0039,Cross-Subject EEG Emotion Recognition Based on Temporal Asynchronous Alignment Contrastive Learning,(unknown),2026,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2605.22379,title-abstract,unclear,passes-ta-needs-fulltext,Claude,"Contrastive alignment; verify"
EEG-0040,Dynamic-Attention-based EEG State Transition Modeling for Emotion Recognition,(unknown),2024,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2411.04568,title-abstract,unclear,passes-ta-needs-fulltext,Claude,"State-transition modeling; verify cross-subject protocol"
EEG-0041,Cross-individual Recognition of Emotions by a Dynamic Entropy based on Pattern Learning with EEG features,"Zhong, Yin",2020,arXiv (submitted to IEEE),arXiv-API,not verified,https://arxiv.org/abs/2009.12525,full-text,include,include,Claude,"INCLUDED - full text (PDF Table V) CLOSES MAHNOB-HCI GAP: DEPL inductive LOSO binary; MAHNOB-HCI (24 subj) V 70.25/5.54 A 73.27/6.77; DEAP (32) V 66.23/5.52 A 68.50/5.87; gamma-band DE; first verifiable MAHNOB-HCI cross-subject LOSO primary; extracted 4 meta rows"
EEG-0042,PR-PL: Transfer Learning with Prototypical Representation Pairwise Learning for EEG-Based Emotion Recognition,(unknown),2022,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2202.06509,full-text,include,include,Claude,"INCLUDED - full text via ar5iv: SEED 85.56/4.78 (cross-session) SEED-IV 74.92/7.92; single-session variant 93.06 (ambiguity); TRANSDUCTIVE (target pseudo-labels); code github.com/KAZABANA/PR-PL verified; extracted 2 rows"
EEG-0043,DAMSDAN: Distribution-Aware Multi-Source Domain Adaptation Network for Cross-Domain EEG Emotion Recognition,(unknown),2025,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2510.17475,full-text,include,include,Claude,"INCLUDED - full text (PDF Tables II-IV): SEED 94.86/4.87 VERIFIED as DAMSDAN's OWN value (transductive LOSO, pseudo-labels); SEED-IV 82.48/8.02; FACED binary 82.88/7.71; code github.com/ZJUTofBrainIntelligence/DAMSDAN verified. NOT leakage - proper LOSO. NOTE: its Table II reproduces MS-MDA SEED at 81.43/10.17 (vs primary 89.63) - reproduction divergence; WebFetch PDF-summary hallucinated 88.37 - verified by reading tables; extracted 3 meta rows"
EEG-0044,Multi-dataset Joint Pre-training of Emotional EEG Enables Generalizable Affective Computing,(unknown),2025,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2510.22197,full-text,include,include-narrative,Claude,"INCLUDED (narrative) - abstract verified: foundation multi-dataset joint pre-training; zero-shot/few-shot cross-dataset; RELATIVE gains only (+11.92pct zero-shot acc); no absolute numbers in abstract -> not meta-poolable; code ncclab-sustech/mdJPT_nips2025"
EEG-0045,EEG-SCMM: Soft Contrastive Masked Modeling for Cross-Corpus EEG-Based Emotion Recognition,(unknown),2024,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2408.09186,full-text,include,include-narrative,Claude,"INCLUDED (narrative) - abstract verified: cross-corpus (SEED/SEED-IV/DEAP) train-on-one apply-to-another; RELATIVE +4.26pct only; no absolute numbers in abstract -> not meta-poolable; code Kyler-RL/SCMM"
EEG-0046,Multi-Source EEG Emotion Recognition via Dynamic Contrastive Domain Adaptation,(unknown),2024,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2408.10235,title-abstract,unclear,passes-ta-needs-fulltext,Claude,"Multi-source contrastive DA (transductive); verify"
EEG-0047,Enhanced Cross-Dataset EEG Emotion Recognition using Unsupervised Domain Adaptation,(unknown; extends Imtiaz & Khan),2024,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2411.12852,full-text,include,include-narrative,Claude,"INCLUDED (narrative) - full text (PDF Table 2): cross-dataset transductive UDA DEAP<->SEED 2-class (unlabeled target + PC-TTA, no target labels); DEAP->SEED 67.44, SEED->DEAP 59.68; NO SD -> include_meta=no. CORROBORATES EEG-0011 (65.84/58.99) - 2 independent unsupervised cross-dataset studies converge ~59-67%"
EEG-0048,SDA-DDA: Semi-supervised Domain Adaptation with Dynamic Distribution Alignment for EEG Emotion Recognition,(unknown),2025,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2502.16485,title-abstract,unclear,passes-ta-needs-fulltext,Claude,"Semi-supervised DA; target-label usage flag; verify"
EEG-0049,Unsupervised Time-Aware Sampling Network with Deep Reinforcement Learning for EEG Emotion Recognition,(unknown),2022,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2212.07088,title-abstract,unclear,passes-ta-needs-fulltext,Claude,"Unsupervised sampling; verify cross-subject protocol"
EEG-0050,Cross-Subject EEG-Based Emotion Recognition Through Neural Networks With Stratified Normalization,Fdez,2021,Frontiers in Neuroscience,WebSearch,10.3389/fnins.2021.626277,https://www.frontiersin.org/articles/10.3389/fnins.2021.626277/full,full-text,include,include,Claude,"INCLUDED as VERIFIED leakage exemplar (full text): LOSO SEED; stratified normalization computed per participant+session INCLUDING the held-out test subject -> target-subject statistics used; ternary 79.6 (stratified) vs 67.1 (batch norm) = +12.5pts; authors do not flag; risk=high; include_meta=no (transductive normalization, not poolable with inductive LOSO)"
EEG-0051,DSP-EmotionNet: Domain adaptation spatial feature perception neural network for cross-subject EEG emotion recognition,(unknown),2024,Frontiers in Human Neuroscience,WebSearch,10.3389/fnhum.2024.1471634,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2024.1471634/full,title-abstract,unclear,passes-ta-needs-fulltext,Claude,"SEED 82.5/SEED-IV 65.9 (secondary); verify transductive vs inductive"
EEG-0052,MS-AGDA: Multi-source adaptive gating UDA for cross-subject/session EEG emotion recognition,(unknown),2025,Signal Image and Video Processing (Springer),WebSearch,10.1007/s11760-025-04819-9,https://link.springer.com/article/10.1007/s11760-025-04819-9,title-abstract,unclear,leakage-flag-verify,Claude,"SEED 92.54 (secondary) UDA - transductive check on full text"
EEG-0053,Cross-dataset EEG emotion recognition based on pre-trained Vision Transformer,(unknown),2025,Expert Systems with Applications (ScienceDirect),WebSearch,not verified,https://www.sciencedirect.com/science/article/abs/pii/S0957417425009704,full-text,include,include,Claude,"INCLUDED + VERIFIED (root-folder PDF full text): PESD = pretrained-ViT + Mixup/adversary/triplet DA. Cross-subject SEED 87.02/4.36 DEAP 86.98/6.07. Cross-DATASET 93.14(SEED)/93.53(DEAP)/92.55(FACED) achieved WITH target adaptation + LOOCV = TRANSDUCTIVE, not inductive zero-shot (cf ~58-67pct inductive, EEG-0011) -> leakage_inflation_cases Case 3 (now VERIFIED). Code github.com/fangwangeeg/PESD; Table 2 corroborates RGNN/BiHDM/DGCNN/MS-MDA"
EEG-0054,Calibration-free meta-learning approach for subject-independent EEG emotion recognition,(unknown),2021,Biomedical Signal Processing and Control (ScienceDirect),WebSearch,not verified,https://www.sciencedirect.com/science/article/abs/pii/S1746809421008867,full-text,include,include,Claude,"INCLUDED + NO-FABRICATION CORRECTION (root-folder PDF full text): the secondary '98.09/98.06 on SEED/DEAP' is FABRICATED - NOT in paper. Paper is DEAP-ONLY; subject-level 70:20:10 split (subject-independent); prototypical few-shot meta-learning; Test Setup II zero-calibration cross-subject valence 69.92/arousal 68.89; Test Setup I calibration 76.46/75.81; methodologically careful, NOT a leakage case; 72.81 traced to ref[32] pretrained-ResNet DEAP"
EEG-0055,Cross-subject EEG emotion classification based on few-label adversarial domain adaptation (FLADA),(unknown),2021,Expert Systems with Applications (ScienceDirect),WebSearch,not verified,https://www.sciencedirect.com/science/article/abs/pii/S0957417421009830,title-abstract,unclear,passes-ta-needs-fulltext,Claude,"Few-label adversarial DA (target labels, stratum F/N); verify"
EEG-0056,EEG emotion recognition across subjects based on deep feature aggregation and multi-source domain adaptation,(unknown),2025,Cognitive Neurodynamics (Springer),WebSearch,10.1007/s11571-025-10379-y,https://link.springer.com/article/10.1007/s11571-025-10379-y,title-abstract,unclear,passes-ta-needs-fulltext,Claude,"Multi-source DA feature aggregation; verify"
EEG-0057,Interpretable Cross-Subject EEG-Based Emotion Recognition Using Channel-Wise Features,(unknown),2020,journal via PMC7727848,WebSearch,not verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC7727848/,full-text,include,include,Claude,"INCLUDED as FATAL-LEAKAGE exemplar (full text methods): claims 'user-independent' but states verbatim 'same subject and same stimuli could be both in the training set and testing set' = subject + trial leakage; near-ceiling DEAP 98.93/99.10 SEED 99.63; DEAP+SEED (NOT AMIGOS); include_meta=no, fatal_flag=YES; leakage_inflation_cases Case 4"
SURV-0002,Evaluation in EEG Emotion Recognition: State-of-the-Art Review,(unknown),2025,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2505.18175,title-abstract,exclude,non-primary-study,Claude,"Competing EVALUATION review - directly relevant to our leakage/eval thesis; retain for Related Work differentiation"
SURV-0003,Harnessing Few-Shot Learning for EEG signal classification: a survey,(unknown),2024,Frontiers in Human Neuroscience,WebSearch,10.3389/fnhum.2024.1421922,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2024.1421922/full,title-abstract,exclude,non-primary-study,Claude,"Few-shot EEG survey; non-primary; keep for Related Work"
EEG-X001,SATTC: Structure-Aware Label-Free Test-Time Calibration for Cross-Subject EEG-to-Image Retrieval,(unknown),2026,arXiv,arXiv-API,not verified,https://arxiv.org/abs/2603.20738,title-abstract,exclude,not-emotion-task,Claude,"EEG-to-IMAGE retrieval, not emotion classification - out of scope"
