reviewer_status,paper_id,title,authors,year,venue,doi,url,reviewer_notes
,EEG-0060,Enhancing EEG-Based Cross-Subject Emotion Recognition via Adaptive Source Joint Domain Adaptation,"Liu, Luo, Zhu, Yu, Yu, Xiao, Wu",2025,IEEE Transactions on Affective Computing 16(3):1419-1430,10.1109/TAFFC.2024.3514635,https://doi.org/10.1109/TAFFC.2024.3514635,
,EEG-0063,FDDGNet: An Information Bottleneck-Inspired Feature Disentanglement Network for Cross-Subject EEG-Based Emotion Recognition,Yang et al.,2026,Neurocomputing 668:132368,10.1016/j.neucom.2025.132368,https://doi.org/10.1016/j.neucom.2025.132368,
,EEG-0070,A Convolution and Attention-Based Conditional Adversarial Domain Adaptation Neural Network for Emotion Recognition Using EEG,Cen et al.,2025,Biomedical Signal Processing and Control 100:106957,10.1016/j.bspc.2024.106957,https://doi.org/10.1016/j.bspc.2024.106957,
,EEG-0073,Bridge Graph Attention Based Graph Convolution Network with Multi-Scale Transformer for EEG Emotion Recognition,Yan et al.,2024,IEEE Transactions on Affective Computing 15(4):2042-2054,10.1109/TAFFC.2024.3394873,https://doi.org/10.1109/TAFFC.2024.3394873,
,EEG-0086,Cross-Subject EEG-Based Emotion Recognition Leveraging Multi-Source Domain Adaptation with Curriculum Learning Strategy,(not verified),2026,Neurocomputing (2026) 134158,10.1016/j.neucom.2026.134158,https://doi.org/10.1016/j.neucom.2026.134158,
,EEG-0087,Subject-Independent EEG Emotion Recognition Based on Genetically Optimized Projection Dictionary Pair Learning,"Su, Zhu, Song, Chang",2023,Brain Sciences 13(7):977,10.3390/brainsci13070977,https://doi.org/10.3390/brainsci13070977,
,EEG-0089,Multi-Scale Hyperbolic Contrastive Learning for Cross-Subject EEG Emotion Recognition (MSHCL),Chang et al.,2025,IEEE Trans. Affective Computing,10.1109/TAFFC.2025.3535542,not verified,
,EEG-0104,STRAViT: Spatial-Temporal Feature-Reshaped Agent Vision Transformer for EEG Emotion Recognition,(not verified),2025,(IEEE journal; venue to confirm),not verified,not verified,
,EEG-0105,Multi-Scale Dynamic Temporal Network With Graph Matching Domain Adaptation for Cross-Subject EEG Emotion Recognition,(not verified),2025,(IEEE journal; venue to confirm),not verified,not verified,
,EEG-0106,Cross-Subject and Cross-Session EEG Emotion Recognition Based on Multisource Structural Deep Clustering,(not verified),2024,(journal; venue to confirm),not verified,not verified,
,EEG-0107,SCVAE-Net: Supervised Contrastive Variational AutoEncoder Network for Cross-Domain EEG Emotion Recognition,(not verified),2026,Sensors (Basel) 26(10):3217,10.3390/s26103217,not verified,
,EEG-0108,Unsupervised Multi-Source Domain Adaptive Network Based on a Gating Mechanism for Cross-Subject EEG Emotion Recognition,(not verified),2025,"Signal, Image and Video Processing",10.1007/s11760-025-04819-9,not verified,
,EEG-0123,A coupling of common-private topological patterns learning approach for cross-subject emotion recognition (CPT-LS),"Zhang, Li, Chang, Liu, Qin, Xie, Wang, Gao, Wu",2024,Biomed. Signal Process. Control,not verified,not verified,
,EEG-0127,AST-CLNet: EEG emotion recognition based on dual-branch adaptive graph convolution and contrastive learning,"Huang, Cao, Li, Hua",2025,Biomed. Signal Process. Control,not verified,not verified,
,EEG-0138,Crucial rhythms and subnetworks for emotion processing extracted by an interpretable deep model (BrainAMDANN),not verified,not verified,not verified,not verified,not verified,
,EEG-0139,DDMGCN: Deep Dynamic Multi-Graph Convolutional Neural Network for EEG emotion recognition,not verified,2026,Biomed. Signal Process. Control,not verified,not verified,
,EEG-0142,Domain adversarial learning with multiple adversarial tasks for EEG emotion recognition (DANN-MAT),not verified,2024,not verified,not verified,not verified,
,EEG-0145,EEG-based emotion recognition using super-resolution superlet transform and self-attention CNN (SLT SA-CNN),not verified,not verified,not verified,not verified,not verified,
,EEG-0151,HEAT: Hierarchical Emotion Adaptation with Progressive Thresholding for EEG Emotion (and Consciousness) Recognition,not verified,not verified,not verified,not verified,not verified,
,EEG-0152,Impact of sex differences on subject-independent EEG-based emotion recognition models,not verified,not verified,not verified,not verified,not verified,
,EEG-0154,MG-DA: Multi-branch graph convolution with domain adaptation for emotion recognition,not verified,not verified,not verified,not verified,not verified,
,EEG-0156,MGGL: a multi-grained graph learning model for EEG emotion recognition,not verified,not verified,not verified,not verified,not verified,
,EEG-0161,Multi-source EEG emotion recognition via dynamic contrastive domain adaptation (MS-DCDA),not verified,not verified,not verified,not verified,not verified,
,EEG-0162,Multi-source domain adaptation with spatio-temporal feature extractor for EEG emotion recognition (DiFLM),not verified,not verified,not verified,not verified,not verified,
,EEG-0163,Multi-source domain separation adversarial domain adaptation for EEG emotion recognition,not verified,not verified,not verified,not verified,not verified,
,EEG-0174,Fusion of Multi-domain EEG Signatures Improves Emotion Recognition,not verified,not verified,"not verified (OA, IMR Press)",not verified,not verified,
,EEG-0176,Directional Spatial and Spectral Attention Network (DSSA Net) for EEG-based emotion recognition,Liu et al.,2024,Frontiers in Neurorobotics,10.3389/fnbot.2024.1481746,not verified,
,EEG-0183,Multi-source joint domain adaptation for cross-subject and cross-session emotion recognition from EEG (MSJDA),"Liang, Su, Fu, Wu",2022,Frontiers in Human Neuroscience 16:921346,10.3389/fnhum.2022.921346,not verified,
,EEG-0185,SSTM-IS: simplified STM method based on instance selection for real-time EEG emotion recognition,not verified,2023,Frontiers in Human Neuroscience 17:1132254,10.3389/fnhum.2023.1132254,not verified,
,EEG-0186,STGATE: Spatial-temporal graph attention network with a transformer encoder for EEG-based emotion recognition,"Li, Pan, Huang, Pan, Wang",2023,Frontiers in Human Neuroscience 17:1169949,10.3389/fnhum.2023.1169949,not verified,
,EEG-0187,Hybrid transfer learning strategy for cross-subject EEG emotion recognition (DFF-Net),not verified,not verified,not verified (OA Frontiers),not verified,not verified,
,EEG-0188,Multi-source domain adaptation for EEG emotion recognition based on inter-domain sample hybridization,not verified,not verified,not verified (OA Frontiers),not verified,not verified,
,EEG-0198,Possibilistic distribution distance metric: a robust domain adaptation learning method (C-PDDM),"Tao, Dan, Zhou",not verified,Frontiers in Neuroscience (OA),not verified,not verified,
,EEG-0203,Domain adaptive deep possibilistic clustering for EEG-based emotion recognition,not verified,2025,Frontiers in Neuroscience 19:1592070,10.3389/fnins.2025.1592070,not verified,
,EEG-0205,MSGM: a multi-scale spatiotemporal graph Mamba for EEG emotion recognition,not verified,not verified,not verified (OA Frontiers),not verified,not verified,
,EEG-0212,Identifying relevant EEG channels for subject-independent emotion recognition using attention,not verified,not verified,not verified (OA Frontiers),not verified,not verified,
,EEG-0213,DGAT: a dynamic graph attention neural network framework for EEG emotion recognition,not verified,not verified,not verified (OA Frontiers),not verified,not verified,
,EEG-0227,Adaptive Domain Alignment Neural Networks for Cross-Domain EEG Emotion Recognition (ADANN),not verified,not verified,IEEE (top),not verified,not verified,
,EEG-0230,An EEG-Based Multi-Source Domain Knowledge Transfer Framework for Cross-Session and Cross-Subject Emotion Recognition (MS-KTF),not verified,not verified,IEEE (top),not verified,not verified,
,EEG-0231,An Efficient Graph Learning System for Emotion Recognition Inspired by the Cognitive Prior Graph of EEG Brain Network (BF-GCN),not verified,not verified,IEEE (top),not verified,not verified,
,EEG-0256,Deep Neural Network for Emotion Recognition Based on Meta-Transfer Learning,not verified,not verified,IEEE (top),not verified,not verified,
,EEG-0257,Deep Representation Learning With Assisted Domain Adaptation for EEG-Based Cross-Subject Emotion Recognition,not verified,not verified,IEEE (top),not verified,not verified,
,EEG-0264,Domain-Invariant Adaptive Graph Regularized Label Propagation for EEG-Based Emotion Recognition,not verified,not verified,IEEE (top),not verified,not verified,
,EEG-0268,Dynamic-Attention-Based EEG State Transition Modeling for Emotion Recognition,not verified,not verified,IEEE (top),not verified,not verified,
,EEG-0276,EMO-CARE: EEG Multi-Scale Temporal Modeling With Channel-Aware Feature Attention for Robust Cross-Subject Emotion Recognition,not verified,not verified,IEEE (top),not verified,not verified,
,EEG-0292,Exploiting the Intrinsic Neighborhood Semantic Structure for Domain Adaptation in EEG-Based Emotion Recognition,not verified,not verified,IEEE (top),not verified,not verified,
,EEG-0315,M3D: Manifold-Based Domain Adaptation With Dynamic Distribution for Non-Deep Transfer Learning in Cross-Subject and Cross-Session EEG Emotion Recognition,not verified,not verified,IEEE (top),not verified,not verified,
,EEG-0340,PR-PL: A Novel Prototypical Representation Based Pairwise Learning Framework for Emotion Recognition,Zhou et al. (PR-PL),not verified,IEEE Transactions on Affective Computing,not verified,not verified,
,EEG-0343,Prototypical Contrastive Learning With Temporal Dynamic Graph Convolutional Network for EEG Emotion Recognition,not verified,not verified,IEEE (top),not verified,not verified,
,EEG-0350,STRAViT: A Spatial-Temporal Feature-Reshaped Agent Vision Transformer for EEG-Based Emotion Recognition,not verified,2025,not verified,not verified,not verified,
,EEG-0353,Semi-Supervised Dual-Stream Self-Attentive Adversarial Graph Contrastive Learning for Cross-Subject EEG Emotion Recognition,not verified,not verified,not verified,not verified,not verified,
,EEG-0358,TAHAG: Two-Stage Domain Adaptation With Hybrid Adaptive Graph Learning for EEG Emotion Recognition,not verified,not verified,not verified,not verified,not verified,
,EEG-0362,Ugan: Uncertainty-Guided Graph Augmentation Network for EEG Emotion Recognition,not verified,not verified,not verified,not verified,not verified,
,EEG-0368,A Knowledge-Driven Self-Supervised Learning Method for Enhancing EEG-Based Emotion Recognition,not verified,not verified,not verified,not verified,not verified,
,EEG-0369,A Multi-Branch EEG Emotion Recognition Framework Based on Cross-Subject and Cross-Session Transfer (MBEER),not verified,2025,Neurocomputing,not verified,not verified,
,EEG-0374,ChannelMix-Based Transformer and Convolutional Multi-View Feature Fusion Network for Unsupervised Cross-Subject EEG Emotion Recognition (CMTCF),not verified,not verified,not verified,not verified,not verified,
,EEG-0378,Cross-Subject Emotion Recognition in BCI Based on Frequency Band Attention Graph Adversarial Network (FBAGAN),not verified,2024,Journal of Neuroscience Methods,not verified,not verified,
,EEG-0379,DA-CapsNet: A Multi-Branch Capsule Network Based on Adversarial Domain Adaption for Cross-Subject EEG Emotion Recognition,not verified,2023,Knowledge-Based Systems,not verified,not verified,
,EEG-0383,Domain Adversarial Neural Network With Reliable Pseudo-Labels Iteration for Cross-Subject EEG Emotion Recognition,not verified,2025,Knowledge-Based Systems,not verified,not verified,
,EEG-0384,Dual Filtration Subdomain Adaptation Network for Cross-Subject EEG Emotion Recognition (DFSAN),not verified,2025,Neurocomputing,not verified,not verified,
,EEG-0385,Dynamic Entropy-Based Pattern Learning to Identify Emotions From EEG Signals Across Individuals,not verified,not verified,not verified,not verified,not verified,
,EEG-0386,Dynamic Sparse Directed Graph Convolutional Network With Attention Mechanisms for EEG Emotion Recognition (DSDirGCN-AM),not verified,2025,Neurocomputing,not verified,not verified,
,EEG-0393,EmoDNCL+: Dual-Stream Negative-Sample-Free Contrastive Learning With Neurophysiological Alignment for EEG Emotion Recognition,not verified,not verified,not verified,not verified,not verified,
,EEG-0399,Emotion Recognition Using Spatial-Temporal EEG Features Through Convolutional Graph Attention Network,not verified,not verified,not verified,not verified,not verified,
,EEG-0402,Fine-Grained Label Propagation via Density-Based Prototype Matching for Cross-Subject EEG Emotion Recognition (DBPM),not verified,2025,Knowledge-Based Systems,not verified,not verified,
,EEG-0404,GCD-JFSE: Graph-Based Class-Domain Knowledge Joint Feature Selection and Ensemble Learning for Cross-Subject EEG Emotion Recognition,not verified,not verified,not verified,not verified,not verified,
,EEG-0405,GNN-Based Multi-Source Domain Prototype Representation for Cross-Subject EEG Emotion Recognition,not verified,2024,Neurocomputing,not verified,not verified,
,EEG-0408,IDFG: Information-Regularized Diversity-Fidelity Graph for EEG Emotion Recognition,not verified,2026,Knowledge-Based Systems,not verified,not verified,
,EEG-0425,PDGCN: A Progressive Dual-Branch Graph Convolution Network for EEG Emotion Recognition,not verified,2026,Neural Networks,not verified,not verified,
,EEG-0428,ProDG: A Proxy-Domain-Guiding Strategy for Multi-Source-Free Domain Adaptation in EEG Emotion Recognition,not verified,2025,Knowledge-Based Systems,not verified,not verified,
,EEG-0433,SFT-SGAT: A Semi-Supervised Fine-Tuning Self-Supervised Graph Attention Network for EEG Emotion Recognition,not verified,not verified,not verified,not verified,not verified,
,EEG-0436,Semi-Supervised Pairwise Transfer Learning Based on Multi-Source Domain Adaptation for EEG Emotion Recognition,not verified,not verified,not verified,not verified,not verified,
,EEG-0438,Spatiotemporal Isomorphic Cross-Brain Region Interaction Network for Cross-Subject EEG Emotion Recognition (STCBI-Nets),not verified,2025,Knowledge-Based Systems,not verified,not verified,
,EEG-0440,Subject-Independent EEG Emotion Recognition With Hybrid Spatio-Temporal GRU-Conv Architecture,not verified,not verified,Medical & Biological Engineering & Computing,not verified,not verified,
,EEG-0441,TMLP+SRDANN: A Domain Adaptation Method for EEG-Based Emotion Recognition,not verified,not verified,not verified,not verified,not verified,
,EEG-0444,UMDA-DDSTGN: An Unsupervised Meta-Domain Adaptation Method Using Dynamic Directed Spatial-Temporal Graph Network,not verified,2025,Knowledge-Based Systems,not verified,not verified,
