paper_id,authors,year,title,venue,venue_type,doi,url,code_repo,dataset_link,peer_reviewed,dataset_name,n_subjects,n_sessions,eeg_channels,sampling_rate_hz,stimulus_type,emotion_model,class_labels,class_balance,data_status,filtering,artifact_removal,baseline_correction,re_referencing,window_length_s,window_overlap,feature_extraction,normalization,preproc_in_cv,feature_type,model_family,adaptation_method,source_selection,target_data_used,target_labels_used,hyperparam_protocol,subject_independent,split_type,n_folds,cross_setting,train_val_test_separation,model_selection_strategy,metric,result_mean,result_sd,result_ci,per_subject_reported,statistical_test,baselines_compared,best_baseline,claimed_sota,mean_or_best,protocol_category,leakage_categories,risk_rating,risk_evidence,ambiguity_notes,include_meta,include_narrative,primary_result,verification_status,source_checked
EEG-0006,Chen et al. (full author list reconfirm),2021,MS-MDA: Multisource Marginal Distribution Adaptation for Cross-Subject and Cross-Session EEG Emotion Recognition,Frontiers in Neuroscience,journal,10.3389/fnins.2021.778488,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2021.778488/full,https://github.com/VoiceBeer/MS-MDA,https://bcmi.sjtu.edu.cn/home/seed/seed.html,yes,SEED,15,3,62,200,film clips,discrete-3class,positive/neutral/negative,unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,differential entropy (DE; band/window details not captured),not verified,unclear,handcrafted-DE,deep-learning-multisource-DA,MS-MDA (multisource marginal distribution adaptation; MMD),other sessions same subjects,yes (unlabeled target during adaptation),no,unclear,no,cross-session,3,cross-session,unclear,unclear,accuracy,88.56,7.8,not reported,unclear,not verified,DAN/DDC/DCORAL/DANN (reconfirm),not verified,no,mean,cross-session-UDA-transductive,cross-session (NOT cross-subject); transductive target use,some-concerns,cross-session companion result - out of cross-subject scope,recorded for protocol contrast; subject_independent=no (same subjects across sessions),no,yes,no,verified-from-fulltext,2026-06-24 arXiv 2107.07740 ar5iv tables
EEG-0006,Chen et al. (full author list reconfirm),2021,MS-MDA: Multisource Marginal Distribution Adaptation for Cross-Subject and Cross-Session EEG Emotion Recognition,Frontiers in Neuroscience,journal,10.3389/fnins.2021.778488,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2021.778488/full,https://github.com/VoiceBeer/MS-MDA,https://weilongzheng.github.io/datasets/seed-iv/,yes,SEED-IV,15,3,62,200,movie clips,discrete-4class,happy/sad/fear/neutral,unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,differential entropy (DE; band/window details not captured),not verified,unclear,handcrafted-DE,deep-learning-multisource-DA,MS-MDA (multisource marginal distribution adaptation; MMD),other sessions same subjects,yes (unlabeled target during adaptation),no,unclear,no,cross-session,3,cross-session,unclear,unclear,accuracy,61.43,15.71,not reported,unclear,not verified,DAN/DDC/DCORAL/DANN (reconfirm),not verified,no,mean,cross-session-UDA-transductive,cross-session (NOT cross-subject); transductive target use,some-concerns,cross-session companion result - out of cross-subject scope; high SD (15.71),recorded for protocol contrast,no,yes,no,verified-from-fulltext,2026-06-24 arXiv 2107.07740 ar5iv tables
EEG-0007,Li/Zheng/Cui/Zhang/Zong (reconfirm),2018,A Bi-Hemisphere Domain Adversarial Neural Network Model for EEG Emotion Recognition,IEEE Transactions on Affective Computing,journal,10.1109/TAFFC.2018.2885474,https://ieeexplore.ieee.org/document/8567966/,none found,https://bcmi.sjtu.edu.cn/home/seed/seed.html,yes,SEED,15,unclear,62,200,film clips,discrete-3class,positive/neutral/negative,unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,differential entropy (DE; band/window details not captured),not verified,unclear,handcrafted-DE,deep-learning-adversarial-DA,BiDANN-S (bi-hemisphere domain-adversarial; subject-independent variant),all other subjects,yes (domain-adversarial uses unlabeled target; reconfirm),no,unclear,yes,LOSO,15,cross-subject,unclear,unclear,accuracy,84.14,6.87,not reported,unclear,not verified,DGCNN/DAN (RGNN Table II),not verified,no,mean,LOSO-domain-adversarial-transductive-leaning,benchmark-ambiguity + transductive,some-concerns,CRITICAL do not confuse subject-dependent BiDANN (~92-97pct) with subject-independent BiDANN-S (84.14); domain-adversarial uses unlabeled target,cross-subject value = 84.14/6.87 per RGNN Table II; subject-dependent BiDANN much higher and often miscited,yes,yes,yes,verified-RGNN-reproduction,2026-06-24 RGNN ar5iv Table II (common-protocol reproduction; primary self-report not separately machine-read)
EEG-0007,Li/Zheng/Cui/Zhang/Zong (reconfirm),2018,A Bi-Hemisphere Domain Adversarial Neural Network Model for EEG Emotion Recognition,IEEE Transactions on Affective Computing,journal,10.1109/TAFFC.2018.2885474,https://ieeexplore.ieee.org/document/8567966/,none found,https://weilongzheng.github.io/datasets/seed-iv/,yes,SEED-IV,15,unclear,62,200,movie clips,discrete-4class,happy/sad/fear/neutral,unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,differential entropy (DE; band/window details not captured),not verified,unclear,handcrafted-DE,deep-learning-adversarial-DA,BiDANN-S (bi-hemisphere domain-adversarial; subject-independent variant),all other subjects,yes (domain-adversarial uses unlabeled target; reconfirm),no,unclear,yes,LOSO,15,cross-subject,unclear,unclear,accuracy,65.59,10.39,not reported,unclear,not verified,DGCNN/DAN (RGNN Table II),not verified,no,mean,LOSO-domain-adversarial-transductive-leaning,benchmark-ambiguity + transductive,some-concerns,subject-independent BiDANN-S value; domain-adversarial uses unlabeled target,value 65.59/10.39 per RGNN Table II,yes,yes,yes,verified-RGNN-reproduction,2026-06-24 RGNN ar5iv Table II (common-protocol reproduction; primary self-report not separately machine-read)
EEG-0008,"Li, Zheng, Wang, Zong, Qi, Cui, Zhang, Song",2021,A Novel Bi-hemispheric Discrepancy Model (BiHDM) for EEG Emotion Recognition,IEEE Transactions on Cognitive and Developmental Systems (vol 13),journal,10.1109/tcds.2020.2999337,https://arxiv.org/abs/1906.01704,none found (unofficial reproduction found; no author repository verified),https://bcmi.sjtu.edu.cn/home/seed/seed.html,yes,SEED,15,unclear,62,200,film clips,discrete-3class,positive/neutral/negative,unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,differential entropy (DE; band/window details not captured),not verified,unclear,handcrafted-DE,deep-learning-adversarial-DA,BiHDM (bi-hemispheric discrepancy with domain discriminator),all other subjects,yes (domain discriminator uses unlabeled target; reconfirm),no,unclear,yes,LOSO,15,cross-subject,unclear,unclear,accuracy,85.4,7.53,not reported,unclear,not verified,DGCNN/DAN/BiDANN-S (RGNN Table II),not verified,no,mean,LOSO-domain-adversarial-transductive-leaning,transductive (domain discriminator),some-concerns,venue/year confirmed (IEEE TCDS vol13 2021); self-reported value,self-reported 85.40/7.53 (BiHDM full text) matches RGNN Table II,yes,yes,yes,verified-from-fulltext,2026-06-24 arXiv 1906.01704 ar5iv Table III
EEG-0008,"Li, Zheng, Wang, Zong, Qi, Cui, Zhang, Song",2021,A Novel Bi-hemispheric Discrepancy Model (BiHDM) for EEG Emotion Recognition,IEEE Transactions on Cognitive and Developmental Systems (vol 13),journal,10.1109/tcds.2020.2999337,https://arxiv.org/abs/1906.01704,none found (unofficial reproduction found; no author repository verified),https://weilongzheng.github.io/datasets/seed-iv/,yes,SEED-IV,15,unclear,62,200,movie clips,discrete-4class,happy/sad/fear/neutral,unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,differential entropy (DE; band/window details not captured),not verified,unclear,handcrafted-DE,deep-learning-adversarial-DA,BiHDM (bi-hemispheric discrepancy with domain discriminator),all other subjects,yes (domain discriminator uses unlabeled target; reconfirm),no,unclear,yes,LOSO,15,cross-subject,unclear,unclear,accuracy,69.03,8.66,not reported,unclear,not verified,DGCNN/DAN/BiDANN-S (RGNN Table II),not verified,no,mean,LOSO-domain-adversarial-transductive-leaning,transductive (domain discriminator),some-concerns,venue/year confirmed (IEEE TCDS vol13 2021); self-reported value,self-reported 69.03/8.66 (BiHDM full text) matches RGNN Table II,yes,yes,yes,verified-from-fulltext,2026-06-24 arXiv 1906.01704 ar5iv Table III
EEG-0014,"Li, Li, Pan, Wang",2021,Cross-Subject EEG Emotion Recognition With Self-Organized Graph Neural Network,Frontiers in Neuroscience,journal,10.3389/fnins.2021.611653,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2021.611653/full,none found,https://bcmi.sjtu.edu.cn/home/seed/seed.html,yes,SEED,15,unclear,62,200,film clips,discrete-3class,positive/neutral/negative,unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,differential entropy (DE),not verified,unclear,DE features,GNN-self-organized-graph,none (inductive),14 other subjects,no,no,unclear,yes,LOSO,15,cross-subject,LOSO 14train/1val (from full text),unclear,accuracy,86.81,5.79,not reported,unclear,not verified,DGCNN/BiHDM/RGNN (paper comparison),not verified,no,mean,LOSO-inductive,none-evident (inductive LOSO; no target data),low-some,inductive LOSO confirmed from full text (no target subject data),clean inductive stratum entry,yes,yes,yes,verified-from-fulltext,2026-06-24 Frontiers full text
EEG-0014,"Li, Li, Pan, Wang",2021,Cross-Subject EEG Emotion Recognition With Self-Organized Graph Neural Network,Frontiers in Neuroscience,journal,10.3389/fnins.2021.611653,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2021.611653/full,none found,https://weilongzheng.github.io/datasets/seed-iv/,yes,SEED-IV,15,unclear,62,200,movie clips,discrete-4class,happy/sad/fear/neutral,unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,differential entropy (DE),not verified,unclear,DE features,GNN-self-organized-graph,none (inductive),14 other subjects,no,no,unclear,yes,LOSO,15,cross-subject,LOSO 14train/1val (from full text),unclear,accuracy,75.27,8.19,not reported,unclear,not verified,DGCNN/BiHDM/RGNN (paper comparison),not verified,no,mean,LOSO-inductive,none-evident (inductive LOSO; no target data),low-some,inductive LOSO confirmed from full text,clean inductive stratum entry,yes,yes,yes,verified-from-fulltext,2026-06-24 Frontiers full text
EEG-0015,Yi Ding; Chengxuan Tong; Shuailei Zhang; Muyun Jiang; Yong Li; Kevin Lim Jun Liang; Cuntai Guan,2024,EmT: A Novel Transformer for Generalized Cross-subject EEG Emotion Recognition,IEEE Transactions on Neural Networks and Learning Systems,journal,10.1109/TNNLS.2025.3552603,https://doi.org/10.1109/TNNLS.2025.3552603,none found,https://bcmi.sjtu.edu.cn/home/seed/seed.html,yes,SEED,15,unclear,62,200,film clips,discrete-3class,positive/neutral/negative,unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,transformer-based EEG representation learned by EmT/reported transformer model (input details not captured),not verified,unclear,deep-features,transformer,none (inductive),other subjects,no,no,unclear,yes,LOSO,15,cross-subject,subject-independent inductive (test subjects held out),unclear,accuracy,80.2,not captured,not reported,unclear,not verified,baselines in paper,not verified,yes,mean,LOSO-inductive,none-evident (inductive),low-some,inductive per full text; SD reported in source (0.029-0.117 range) but exact per-cell not captured,acc 0.802 (->80.2pct) F1 0.821; preprint,yes,yes,yes,verified-from-fulltext,2026-06-24 arXiv 2406.18345 ar5iv; published-version metadata updated 2026-06-28; source: Crossref DOI record
EEG-0015,Yi Ding; Chengxuan Tong; Shuailei Zhang; Muyun Jiang; Yong Li; Kevin Lim Jun Liang; Cuntai Guan,2024,EmT: A Novel Transformer for Generalized Cross-subject EEG Emotion Recognition,IEEE Transactions on Neural Networks and Learning Systems,journal,10.1109/TNNLS.2025.3552603,https://doi.org/10.1109/TNNLS.2025.3552603,none found,not verified,yes,FACED,unclear,unclear,not verified,not verified,video clips,fine-grained (class count reconfirm),fine-grained (reconfirm),unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,transformer-based EEG representation learned by EmT/reported transformer model (input details not captured),not verified,unclear,deep-features,transformer,none (inductive),other subjects,no,no,unclear,yes,leave-n-subject-out (n=12),n/a,cross-subject,subject-independent inductive (LnSO n=12),unclear,accuracy,60.8,not captured,not reported,unclear,not verified,baselines in paper,not verified,yes,mean,LnSO-inductive,none-evident (inductive) but LnSO not strict LOSO,low-some,LnSO(n=12) not LOSO - separate stratum; SD reported range only,acc 0.608 F1 0.740; FACED subject/class counts to verify,no,yes,yes,verified-from-fulltext,2026-06-24 arXiv 2406.18345 ar5iv; published-version metadata updated 2026-06-28; source: Crossref DOI record
EEG-0016,"Liang, Zhou, Zhang, Li, Huang, Zhang, Ishii",2021,EEGFuseNet: Hybrid Unsupervised Deep Feature Characterization and Fusion for High-Dimensional EEG with An Application to Emotion Recognition,IEEE Transactions on Neural Systems and Rehabilitation Engineering (vol 29),journal,10.1109/tnsre.2021.3111689,https://arxiv.org/abs/2102.03777,not verified (repo may exist; not confirmed this session),http://eecs.qmul.ac.uk/mmv/datasets/deap/,yes,DEAP,32,1,32,128,music-video clips,dimensional,binary valence (median split),unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,unsupervised deep features (CNN-RNN-GAN autoencoder) + hypergraph decoding,not verified,unclear,deep-unsupervised-features,deep-learning-CNN-RNN-GAN-autoencoder,none (unsupervised features + hypergraph clustering; inductive),other subjects,no,no,unclear,yes,LOSO,32,cross-subject,subject-level LOOCV subject-independent (Table I),unclear,accuracy,56.44,not reported,not reported,unclear,not verified,time/PSD/DE features; PCA+Kmeans/KNN/RCC/AGDL/simple-graph,not verified,no,mean,LOSO-inductive,confirm no window/trial leakage at full text (DEAP segmentation),some-concerns,CORRECTION: prior secondary 72.81 is NOT in paper; real DEAP subj-indep unsupervised LOSO acc V 56.44/A 58.55/D 61.71/Liking 65.89 (F1 70.83/72.00/74.32/78.46),Table I full text: DEAP subj-indep unsupervised valence acc 56.44 (F1 70.83); also SEED 3-class 59.06/2-class 80.83 (F1 82.03); MAHNOB-HCI V 60.64/A 62.06/D 67.08/Pred 74.63,yes,yes,yes,verified-from-fulltext,2026-06-24 IEEE TNSRE vol29 pp1913-1925 full text Tables I-III (root-folder PDF) - 72.81 NOT present anywhere
EEG-0017,"Li, Ren, Ge, et al.",2023,MTLFuseNet: A novel emotion recognition model based on deep latent feature fusion of EEG signals and multi-task learning,Knowledge-Based Systems (vol 276),journal,10.1016/j.knosys.2023.110756,https://www.sciencedirect.com/science/article/abs/pii/S0950705123005063,none found,https://doi.org/10.1109/JBHI.2017.2688239,yes,DREAMER,23,1,14,128,film clips,dimensional,binary valence (median split; DREAMER median=3),unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,deep latent features (VAE spatio-temporal + GCN-GRU spatio-spectral),not verified,unclear,deep-features-fusion,deep-learning-multitask-fusion,none (subject-independent inductive),22 other subjects,no,no,unclear,yes,LOSO,23,cross-subject,subject-independent LOSOCV (leave-1-subject-out; 22 train),unclear,accuracy,80.43,8.01,not reported,yes (per-subject Fig 7),not verified,EEGNet/FBCNN/DGCNN/FBCNet/Tsception/STNet/MT-CNN/SSTD,76.81,yes,mean,LOSO-inductive,inductive subject-independent LOSOCV confirmed from full text,some-concerns,Table 4 full text: DREAMER valence 80.43/8.01 (best acc; SSTD baseline 76.81),valence task; mean+-std over 23 subjects,yes,yes,yes,verified-from-fulltext,2026-06-24 KBS vol276 110756 full text Table 4 (root-folder PDF)
